2026-04-12 00:00:00.003 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - ==============================
2026-04-12 00:00:00.009 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频排序权重计算任务启动 [3小时/次]
2026-04-12 00:00:00.009 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - ==============================
2026-04-12 00:00:00.047 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 正在处理第 1 页，本批次 54 条视频
2026-04-12 00:00:00.091 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VProgL005f03611f09c1ba0ad9f1dc9fa 进入新池：Po233f3576-f04a-11f0-9c1b-a0ad9f1dc9fa
2026-04-12 00:00:00.106 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VProgL004f03611f09c1ba0ad9f1dc9fa 进入新池：Po233f3576-f04a-11f0-9c1b-a0ad9f1dc9fa
2026-04-12 00:00:00.118 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VProgL003f03611f09c1ba0ad9f1dc9fa 进入新池：Po233f3576-f04a-11f0-9c1b-a0ad9f1dc9fa
2026-04-12 00:00:00.131 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VProgL002f03611f09c1ba0ad9f1dc9fa 进入新池：Po233f3576-f04a-11f0-9c1b-a0ad9f1dc9fa
2026-04-12 00:00:00.145 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VProgL001f03611f09c1ba0ad9f1dc9fa 进入新池：Po233f3576-f04a-11f0-9c1b-a0ad9f1dc9fa
2026-04-12 00:00:00.163 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VProgB005f03611f09c1ba0ad9f1dc9fa 进入新池：Po233f327c-f04a-11f0-9c1b-a0ad9f1dc9fa
2026-04-12 00:00:00.175 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VProgB004f03611f09c1ba0ad9f1dc9fa 进入新池：Po233f327c-f04a-11f0-9c1b-a0ad9f1dc9fa
2026-04-12 00:00:00.186 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VProgB003f03611f09c1ba0ad9f1dc9fa 进入新池：Po233f327c-f04a-11f0-9c1b-a0ad9f1dc9fa
2026-04-12 00:00:00.198 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VProgB002f03611f09c1ba0ad9f1dc9fa 进入新池：Po233f327c-f04a-11f0-9c1b-a0ad9f1dc9fa
2026-04-12 00:00:00.213 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VProgB001f03611f09c1ba0ad9f1dc9fa 进入新池：Po233f327c-f04a-11f0-9c1b-a0ad9f1dc9fa
2026-04-12 00:00:00.225 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VMusicL005f03611f09c1ba0ad9f1dc9fb 进入新池：Po233f4002-f04a-11f0-9c1b-a0ad9f1dc9fb
2026-04-12 00:00:00.238 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VMusicL004f03611f09c1ba0ad9f1dc9fb 进入新池：Po233f4002-f04a-11f0-9c1b-a0ad9f1dc9fb
2026-04-12 00:00:00.252 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VMusicL003f03611f09c1ba0ad9f1dc9fb 进入新池：Po233f4002-f04a-11f0-9c1b-a0ad9f1dc9fb
2026-04-12 00:00:00.265 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VMusicL002f03611f09c1ba0ad9f1dc9fb 进入新池：Po233f4002-f04a-11f0-9c1b-a0ad9f1dc9fb
2026-04-12 00:00:00.278 [scheduling-1] INFO  c.example.XSJ.Controller.VideoScoreCalculateTask - 视频 VMusicL001f03611f09c1ba0ad9f1dc9fb 进入新池：Po233f4002-f04a-11f0-9c1b-a0ad9f1dc9fb
